Supplementary Dataset 1 - Spreadsheet F - Features of reaction sets pre and post ammonia for 144 expansion simulations - Data for generating Extended Data Fig.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Redox Potential,pH,"Seed (0=CO2, 1=Formate/Acetate)","Thioester (0=No RSH, 1=RSH)",T,CoenzymeStoich,PPE reaction proportion (pre-ammonia),PPE reaction proportion (post-ammonia),Nitrogen-containg coenzymes (pre-ammonia),Nitrogen-containg coenzymes (post-ammonia),Active Site Nitrogen (pre-ammonia),Active Site Nitrogen (post-ammonia),Whole enzyme nitrogen (pre-ammonia),Whole enzyme nitrogen (post-ammonia)
-600,5,0,1,150,1,0.145739910313901,0.112,0.0739910313901345,0.372,0.350499615680246,0.461904761904762,0.20570771454496,0.203136295845567
-400,5,0,1,150,1,0.127737226277372,0.116363636363636,0.072992700729927,0.349090909090909,0.358273381294964,0.46513249651325,0.206026328440887,0.202983821783322
-200,5,0,1,150,1,0.128113879003559,0.115107913669065,0.0765124555160142,0.345323741007194,0.358156028368794,0.46513249651325,0.206419309062737,0.202954392763158
0,5,0,1,150,1,0.128571428571429,0.114695340501792,0.0767857142857143,0.347670250896057,0.358156028368794,0.46513249651325,0.206425257972426,0.20295413207531
-600,5,1,1,50,1,0.148717948717949,0.111627906976744,0.0846153846153846,0.395348837209302,0.361328125,0.46671388101983,0.203458441510107,0.20335363656462
-400,5,1,1,50,1,0.146987951807229,0.112,0.0891566265060241,0.368,0.36397400185701,0.465116279069767,0.203377231463234,0.203284282898099
-200,5,1,1,50,1,0.143529411764706,0.111553784860558,0.0894117647058824,0.366533864541833,0.363051470588235,0.465116279069767,0.203347333300144,0.203284282898099
0,5,1,1,50,1,0.150851581508516,0.12621359223301,0.097323600973236,0.407766990291262,0.361721611721612,0.470541401273885,0.203989229294367,0.203385412312321
200,5,1,1,50,1,0.14621409921671,0.127450980392157,0.10443864229765,0.411764705882353,0.360777058279371,0.470541401273885,0.203868574771849,0.203385412312321
400,5,1,1,50,1,0.169230769230769,0.164285714285714,0.123076923076923,0.464285714285714,0.363899613899614,0.471807628524046,0.205299162499062,0.203695994861334
600,5,1,1,50,1,0.177685950413223,0.164285714285714,0.12396694214876,0.464285714285714,0.3625,0.471807628524046,0.205263617745503,0.203695994861334
-600,5,1,1,150,1,0.145739910313901,0.112,0.0739910313901345,0.372,0.350499615680246,0.461904761904762,0.20570771454496,0.203136295845567
-400,5,1,1,150,1,0.127737226277372,0.116363636363636,0.072992700729927,0.349090909090909,0.358273381294964,0.46513249651325,0.206026328440887,0.202983821783322
-200,5,1,1,150,1,0.128113879003559,0.115107913669065,0.0765124555160142,0.345323741007194,0.358156028368794,0.46513249651325,0.206419309062737,0.202954392763158
0,5,1,1,150,1,0.128571428571429,0.114695340501792,0.0767857142857143,0.347670250896057,0.358156028368794,0.46513249651325,0.206425257972426,0.20295413207531
200,5,1,1,150,1,0.126732673267327,0.134615384615385,0.0811881188118812,0.413461538461538,0.361702127659574,0.469125902165196,0.204727554703575,0.203337498199614
400,5,1,1,150,1,0.156521739130435,0.164383561643836,0.0956521739130435,0.458904109589041,0.375549692172383,0.470342522974102,0.205875531837874,0.203661664200393
600,5,1,1,150,1,0.176470588235294,0.170212765957447,0.110294117647059,0.468085106382979,0.366013071895425,0.470342522974102,0.205076058719424,0.203634125976162
-400,5,1,0,50,1,0.18974358974359,0.134146341463415,0.0666666666666667,0.457317073170732,0.377981651376147,0.38638985005767,0.202583781600026,0.20358065353394
-200,5,1,0,50,1,0.18974358974359,0.137724550898204,0.0666666666666667,0.449101796407186,0.377981651376147,0.38638985005767,0.202583781600026,0.203584331344214
-600,5,1,0,150,1,0.179487179487179,0.13963963963964,0.0555555555555556,0.378378378378378,0.352509179926561,0.394486692015209,0.206572399023611,0.203306762922326
-400,5,1,0,150,1,0.141104294478528,0.145299145299145,0.049079754601227,0.363247863247863,0.363636363636364,0.397350993377483,0.207100766267435,0.203136313808403
-200,5,1,0,150,1,0.143730886850153,0.144067796610169,0.0519877675840979,0.360169491525424,0.364475201845444,0.397350993377483,0.207791075482124,0.203100469398581
0,5,1,0,150,1,0.143730886850153,0.144067796610169,0.0519877675840979,0.360169491525424,0.364475201845444,0.397350993377483,0.207791075482124,0.203100469398581
-600,7,0,1,50,1,0.149509803921569,0.105932203389831,0.0857843137254902,0.38135593220339,0.364161849710983,0.461642905634759,0.203497001109328,0.203147242894636
-400,7,0,1,50,1,0.144522144522145,0.111111111111111,0.0885780885780886,0.35632183908046,0.366636113657195,0.464857341684064,0.203415554302656,0.202993582795559
-200,7,0,1,50,1,0.151079136690647,0.1256038647343,0.0983213429256595,0.410628019323671,0.364214350590372,0.4688,0.204037467517732,0.203337733865648
-600,7,0,1,150,1,0.128158844765343,0.115942028985507,0.0740072202166065,0.344202898550725,0.358273381294964,0.464857341684064,0.206013275505572,0.202977505375452
-400,7,0,1,150,1,0.127433628318584,0.114695340501792,0.0761061946902655,0.340501792114695,0.358156028368794,0.464857341684064,0.206406524258969,0.202948118096003
-200,7,0,1,150,1,0.128975265017668,0.114285714285714,0.0777385159010601,0.342857142857143,0.358156028368794,0.464857341684064,0.206412469154735,0.202947858014516
0,7,0,1,150,1,0.12707182320442,0.133971291866029,0.0810313075506446,0.406698564593301,0.35734664764622,0.4688,0.206394373553936,0.203329714031893
-600,7,1,1,50,1,0.149509803921569,0.105932203389831,0.0857843137254902,0.38135593220339,0.364161849710983,0.461642905634759,0.203497001109328,0.203147242894636
-400,7,1,1,50,1,0.144522144522145,0.111111111111111,0.0885780885780886,0.35632183908046,0.366636113657195,0.464857341684064,0.203415554302656,0.202993582795559
-200,7,1,1,50,1,0.151079136690647,0.1256038647343,0.0983213429256595,0.410628019323671,0.364214350590372,0.4688,0.204037467517732,0.203337733865648
0,7,1,1,50,1,0.148051948051948,0.13,0.106493506493506,0.415,0.367101303911735,0.4688,0.203690591221265,0.20334049560277
-600,7,1,1,150,1,0.128158844765343,0.115942028985507,0.0740072202166065,0.344202898550725,0.358273381294964,0.464857341684064,0.206013275505572,0.202977505375452
-400,7,1,1,150,1,0.127433628318584,0.114695340501792,0.0761061946902655,0.340501792114695,0.358156028368794,0.464857341684064,0.206406524258969,0.202948118096003
-200,7,1,1,150,1,0.128975265017668,0.114285714285714,0.0777385159010601,0.342857142857143,0.358156028368794,0.464857341684064,0.206412469154735,0.202947858014516
0,7,1,1,150,1,0.12707182320442,0.133971291866029,0.0810313075506446,0.406698564593301,0.35734664764622,0.4688,0.206394373553936,0.203329714031893
200,7,1,1,150,1,0.151832460732984,0.147368421052632,0.0942408376963351,0.415789473684211,0.373607540702656,0.465587044534413,0.205870943554573,0.203247785487193
400,7,1,1,150,1,0.180811808118081,0.171428571428571,0.114391143911439,0.464285714285714,0.365853658536585,0.47,0.205084715502939,0.203623611893563
600,7,1,1,150,1,0.183520599250936,0.171428571428571,0.116104868913858,0.464285714285714,0.36491935483871,0.47,0.205077526918805,0.203623611893563
-600,7,1,0,50,1,0.190954773869347,0.130718954248366,0.0703517587939698,0.470588235294118,0.379061371841155,0.386206896551724,0.202746764639885,0.203799375286969
-400,7,1,0,50,1,0.179245283018868,0.141104294478528,0.0660377358490566,0.447852760736196,0.382826475849732,0.386206896551724,0.202662782464258,0.203749107888286
-600,7,1,0,150,1,0.143730886850153,0.142241379310345,0.0519877675840979,0.362068965517241,0.363636363636364,0.397169811320755,0.207100766267435,0.203123037943656
-400,7,1,0,150,1,0.146341463414634,0.143459915611814,0.0548780487804878,0.354430379746835,0.364475201845444,0.397169811320755,0.207791075482124,0.203092680203021
-200,7,1,0,150,1,0.146341463414634,0.143459915611814,0.0548780487804878,0.354430379746835,0.364475201845444,0.397169811320755,0.207791075482124,0.203092680203021
-600,9,0,1,50,1,0.143187066974596,0.119565217391304,0.0877598152424942,0.347826086956522,0.366636113657195,0.487678339818418,0.203401183430267,0.202839297347328
-400,9,0,1,50,1,0.144522144522145,0.11913357400722,0.0932400932400932,0.346570397111913,0.364376130198915,0.487678339818418,0.204008715333021,0.202796247211287
-200,9,0,1,50,1,0.148717948717949,0.14018691588785,0.105128205128205,0.401869158878505,0.367101303911735,0.494464944649447,0.203675964532256,0.20314305695186
-600,9,0,1,150,1,0.131147540983607,0.12258064516129,0.0765027322404372,0.329032258064516,0.358827734095783,0.482605945604048,0.206462717281933,0.203375964007959
-400,9,0,1,150,1,0.130357142857143,0.121405750798722,0.0785714285714286,0.325878594249201,0.358156028368794,0.482605945604048,0.206406524258969,0.203349303254001
-200,9,0,1,150,1,0.132969034608379,0.138211382113821,0.0801457194899818,0.378048780487805,0.358007117437722,0.488522238163558,0.206417694468437,0.203752322782045
-600,9,1,1,50,1,0.143187066974596,0.119565217391304,0.0877598152424942,0.347826086956522,0.366636113657195,0.487678339818418,0.203401183430267,0.202839297347328
-400,9,1,1,50,1,0.144522144522145,0.11913357400722,0.0932400932400932,0.346570397111913,0.364376130198915,0.487678339818418,0.204008715333021,0.202796247211287
-200,9,1,1,50,1,0.148717948717949,0.14018691588785,0.105128205128205,0.401869158878505,0.367101303911735,0.494464944649447,0.203675964532256,0.20314305695186
0,9,1,1,50,1,0.178082191780822,0.177631578947368,0.113013698630137,0.447368421052632,0.366735537190083,0.496551724137931,0.205103041552631,0.20339333131467
-600,9,1,1,150,1,0.131147540983607,0.12258064516129,0.0765027322404372,0.329032258064516,0.358827734095783,0.482605945604048,0.206462717281933,0.203375964007959
-400,9,1,1,150,1,0.130357142857143,0.121405750798722,0.0785714285714286,0.325878594249201,0.358156028368794,0.482605945604048,0.206406524258969,0.203349303254001
-200,9,1,1,150,1,0.132969034608379,0.138211382113821,0.0801457194899818,0.378048780487805,0.358007117437722,0.488522238163558,0.206417694468437,0.203752322782045
0,9,1,1,150,1,0.130784708249497,0.138775510204082,0.0845070422535211,0.379591836734694,0.361561119293078,0.488522238163558,0.204728605485211,0.203752322782045
-600,9,1,0,50,1,0.179245283018868,0.151685393258427,0.0660377358490566,0.426966292134831,0.382826475849732,0.430769230769231,0.202662782464258,0.203475814215295
-400,9,1,0,50,1,0.19,0.173611111111111,0.075,0.451388888888889,0.380106571936057,0.427528675703858,0.203835713726196,0.204095575605261
-600,9,1,0,150,1,0.147239263803681,0.149812734082397,0.0552147239263804,0.340823970037453,0.364475201845444,0.428453267162945,0.207791075482124,0.203179506299938
-400,9,1,0,150,1,0.147239263803681,0.148698884758364,0.0552147239263804,0.338289962825279,0.364475201845444,0.428453267162945,0.207791075482124,0.203148674964636
-600,5,0,1,150,2,0.129326047358834,0.116363636363636,0.0746812386156648,0.349090909090909,0.358827734095783,0.46513249651325,0.206475649714142,0.202983821783322
-400,5,0,1,150,2,0.128113879003559,0.115107913669065,0.0765124555160142,0.345323741007194,0.358156028368794,0.46513249651325,0.206419309062737,0.202954392763158
-200,5,0,1,150,2,0.128113879003559,0.114695340501792,0.0765124555160142,0.347670250896057,0.358156028368794,0.46513249651325,0.206419309062737,0.20295413207531
0,5,0,1,150,2,0.128113879003559,0.114695340501792,0.0765124555160142,0.347670250896057,0.358156028368794,0.46513249651325,0.206419309062737,0.20295413207531
200,5,0,1,150,2,0.128571428571429,0.114695340501792,0.0767857142857143,0.347670250896057,0.358156028368794,0.46513249651325,0.206425257972426,0.20295413207531
-600,5,1,1,50,2,0.146835443037975,0.105263157894737,0.0860759493670886,0.394736842105263,0.361328125,0.462116040955631,0.203515934523275,0.203318509748016
-400,5,1,1,50,2,0.149038461538462,0.112,0.0913461538461538,0.368,0.364640883977901,0.465116279069767,0.203965616902219,0.203284282898099
-200,5,1,1,50,2,0.146853146853147,0.109848484848485,0.0932400932400932,0.348484848484849,0.363719234275296,0.466154919748779,0.203929394379376,0.203285183466686
0,5,1,1,50,2,0.147540983606557,0.109433962264151,0.0936768149882904,0.350943396226415,0.363719234275296,0.466154919748779,0.203935852938574,0.203284882467028
200,5,1,1,50,2,0.14321608040201,0.126829268292683,0.100502512562814,0.409756097560976,0.360881542699725,0.470541401273885,0.20393038033593,0.203385412312321
400,5,1,1,50,2,0.175862068965517,0.158620689655172,0.113793103448276,0.455172413793103,0.360266159695817,0.471807628524046,0.205293149154606,0.203723239629585
600,5,1,1,50,2,0.170634920634921,0.164285714285714,0.119047619047619,0.464285714285714,0.363636363636364,0.471807628524046,0.205055011589129,0.203695994861334
-600,5,1,1,150,2,0.129326047358834,0.116363636363636,0.0746812386156648,0.349090909090909,0.358827734095783,0.46513249651325,0.206475649714142,0.202983821783322
-400,5,1,1,150,2,0.128113879003559,0.115107913669065,0.0765124555160142,0.345323741007194,0.358156028368794,0.46513249651325,0.206419309062737,0.202954392763158
-200,5,1,1,150,2,0.128113879003559,0.114695340501792,0.0765124555160142,0.347670250896057,0.358156028368794,0.46513249651325,0.206419309062737,0.20295413207531
0,5,1,1,150,2,0.128113879003559,0.114695340501792,0.0765124555160142,0.347670250896057,0.358156028368794,0.46513249651325,0.206419309062737,0.20295413207531
200,5,1,1,150,2,0.128571428571429,0.114695340501792,0.0767857142857143,0.347670250896057,0.358156028368794,0.46513249651325,0.206425257972426,0.20295413207531
400,5,1,1,150,2,0.126732673267327,0.134615384615385,0.0811881188118812,0.413461538461538,0.361702127659574,0.469125902165196,0.204727554703575,0.203337498199614
600,5,1,1,150,2,0.156521739130435,0.164383561643836,0.0956521739130435,0.458904109589041,0.375549692172383,0.470342522974102,0.205875531837874,0.203661664200393
-600,5,1,0,50,2,0.191256830601093,0.127388535031847,0.0710382513661202,0.471337579617834,0.374074074074074,0.38638985005767,0.202780243597693,0.203632508710216
-400,5,1,0,50,2,0.193877551020408,0.137724550898204,0.0714285714285714,0.449101796407186,0.379061371841155,0.38638985005767,0.203677937463847,0.203584331344214
-200,5,1,0,50,2,0.193877551020408,0.136094674556213,0.0714285714285714,0.443786982248521,0.379061371841155,0.38638985005767,0.203677937463847,0.203541124490183
0,5,1,0,50,2,0.193877551020408,0.136094674556213,0.0714285714285714,0.443786982248521,0.379061371841155,0.38638985005767,0.203677937463847,0.203541124490183
-600,5,1,0,150,2,0.143730886850153,0.145299145299145,0.0519877675840979,0.363247863247863,0.364475201845444,0.397350993377483,0.207791075482124,0.203136313808403
-400,5,1,0,150,2,0.143730886850153,0.144067796610169,0.0519877675840979,0.360169491525424,0.364475201845444,0.397350993377483,0.207791075482124,0.203100469398581
-200,5,1,0,150,2,0.143730886850153,0.144067796610169,0.0519877675840979,0.360169491525424,0.364475201845444,0.397350993377483,0.207791075482124,0.203100469398581
0,5,1,0,150,2,0.143730886850153,0.144067796610169,0.0519877675840979,0.360169491525424,0.364475201845444,0.397350993377483,0.207791075482124,0.203100469398581
200,5,1,0,150,2,0.143730886850153,0.144067796610169,0.0519877675840979,0.360169491525424,0.364475201845444,0.397350993377483,0.207791075482124,0.203100469398581
-600,7,0,1,50,2,0.146511627906977,0.111111111111111,0.0906976744186047,0.35632183908046,0.367272727272727,0.464857341684064,0.203999543503959,0.202993582795559
-400,7,0,1,50,2,0.145124716553288,0.109848484848485,0.0929705215419501,0.352272727272727,0.366336633663366,0.464857341684064,0.203963134371006,0.202963998968269
-200,7,0,1,50,2,0.144469525959368,0.11070110701107,0.0925507900677201,0.346863468634686,0.366336633663366,0.464857341684064,0.203963134371006,0.202955993080823
0,7,0,1,50,2,0.155778894472362,0.129353233830846,0.103015075376884,0.412935323383085,0.368,0.4688,0.203753556160393,0.20334049560277
-600,7,0,1,150,2,0.127433628318584,0.114695340501792,0.0761061946902655,0.340501792114695,0.358156028368794,0.464857341684064,0.206406524258969,0.202948118096003
-400,7,0,1,150,2,0.128521126760563,0.114285714285714,0.0774647887323944,0.342857142857143,0.358156028368794,0.464857341684064,0.206406524258969,0.202947858014516
-200,7,0,1,150,2,0.128521126760563,0.114285714285714,0.0774647887323944,0.342857142857143,0.358156028368794,0.464857341684064,0.206406524258969,0.202947858014516
0,7,0,1,150,2,0.128975265017668,0.114285714285714,0.0777385159010601,0.342857142857143,0.358156028368794,0.464857341684064,0.206412469154735,0.202947858014516
200,7,0,1,150,2,0.12707182320442,0.133971291866029,0.0810313075506446,0.406698564593301,0.35734664764622,0.4688,0.206394373553936,0.203329714031893
-600,7,1,1,50,2,0.146511627906977,0.111111111111111,0.0906976744186047,0.35632183908046,0.367272727272727,0.464857341684064,0.203999543503959,0.202993582795559
-400,7,1,1,50,2,0.145124716553288,0.109848484848485,0.0929705215419501,0.352272727272727,0.366336633663366,0.464857341684064,0.203963134371006,0.202963998968269
-200,7,1,1,50,2,0.144469525959368,0.11070110701107,0.0925507900677201,0.346863468634686,0.366336633663366,0.464857341684064,0.203963134371006,0.202955993080823
0,7,1,1,50,2,0.155778894472362,0.129353233830846,0.103015075376884,0.412935323383085,0.368,0.4688,0.203753556160393,0.20334049560277
200,7,1,1,50,2,0.149606299212598,0.130653266331658,0.10761154855643,0.417085427135678,0.367101303911735,0.4688,0.203690591221265,0.20334049560277
-600,7,1,1,150,2,0.127433628318584,0.114695340501792,0.0761061946902655,0.340501792114695,0.358156028368794,0.464857341684064,0.206406524258969,0.202948118096003
-400,7,1,1,150,2,0.128521126760563,0.114285714285714,0.0774647887323944,0.342857142857143,0.358156028368794,0.464857341684064,0.206406524258969,0.202947858014516
-200,7,1,1,150,2,0.128521126760563,0.114285714285714,0.0774647887323944,0.342857142857143,0.358156028368794,0.464857341684064,0.206406524258969,0.202947858014516
0,7,1,1,150,2,0.128975265017668,0.114285714285714,0.0777385159010601,0.342857142857143,0.358156028368794,0.464857341684064,0.206412469154735,0.202947858014516
200,7,1,1,150,2,0.12707182320442,0.133971291866029,0.0810313075506446,0.406698564593301,0.35734664764622,0.4688,0.206394373553936,0.203329714031893
400,7,1,1,150,2,0.134615384615385,0.134615384615385,0.0897435897435897,0.408653846153846,0.372367312552654,0.4688,0.20466880937705,0.203329714031893
600,7,1,1,150,2,0.180811808118081,0.171428571428571,0.114391143911439,0.464285714285714,0.365853658536585,0.47,0.205084715502939,0.203623611893563
-600,7,1,0,50,2,0.183098591549296,0.141104294478528,0.0704225352112676,0.447852760736196,0.383802816901408,0.386206896551724,0.203741945381494,0.203749107888286
-400,7,1,0,50,2,0.183098591549296,0.139393939393939,0.0704225352112676,0.442424242424242,0.383802816901408,0.386206896551724,0.203741945381494,0.203704890011943
-200,7,1,0,50,2,0.183098591549296,0.139393939393939,0.0704225352112676,0.442424242424242,0.383802816901408,0.386206896551724,0.203741945381494,0.203704890011943
-600,7,1,0,150,2,0.146341463414634,0.143459915611814,0.0548780487804878,0.354430379746835,0.364475201845444,0.397169811320755,0.207791075482124,0.203092680203021
-400,7,1,0,150,2,0.146341463414634,0.143459915611814,0.0548780487804878,0.354430379746835,0.364475201845444,0.397169811320755,0.207791075482124,0.203092680203021
-200,7,1,0,150,2,0.146341463414634,0.143459915611814,0.0548780487804878,0.354430379746835,0.364475201845444,0.397169811320755,0.207791075482124,0.203092680203021
0,7,1,0,150,2,0.146341463414634,0.143459915611814,0.0548780487804878,0.354430379746835,0.364475201845444,0.397169811320755,0.207791075482124,0.203092680203021
-600,9,0,1,50,2,0.141891891891892,0.11913357400722,0.0900900900900901,0.346570397111913,0.366336633663366,0.487678339818418,0.203949068401447,0.202839297347328
-400,9,0,1,50,2,0.143176733780761,0.118881118881119,0.0917225950782998,0.339160839160839,0.366336633663366,0.487678339818418,0.203949068401447,0.202804269605276
-200,9,0,1,50,2,0.149643705463183,0.133333333333333,0.0973871733966746,0.395555555555556,0.364214350590372,0.494464944649447,0.204004784681409,0.203140303270998
0,9,0,1,50,2,0.148717948717949,0.14018691588785,0.105128205128205,0.401869158878505,0.367101303911735,0.494464944649447,0.203675964532256,0.20314305695186
-600,9,0,1,150,2,0.130357142857143,0.121019108280255,0.0785714285714286,0.328025477707006,0.358156028368794,0.482605945604048,0.206406524258969,0.203349053757041
-400,9,0,1,150,2,0.129893238434164,0.121019108280255,0.0782918149466192,0.328025477707006,0.358156028368794,0.482605945604048,0.206406524258969,0.203349053757041
-200,9,0,1,150,2,0.129893238434164,0.121019108280255,0.0782918149466192,0.328025477707006,0.358156028368794,0.482605945604048,0.206406524258969,0.203349053757041
0,9,0,1,150,2,0.132969034608379,0.138211382113821,0.0801457194899818,0.378048780487805,0.358007117437722,0.488522238163558,0.206417694468437,0.203752322782045
-600,9,1,1,50,2,0.141891891891892,0.11913357400722,0.0900900900900901,0.346570397111913,0.366336633663366,0.487678339818418,0.203949068401447,0.202839297347328
-400,9,1,1,50,2,0.143176733780761,0.118881118881119,0.0917225950782998,0.339160839160839,0.366336633663366,0.487678339818418,0.203949068401447,0.202804269605276
-200,9,1,1,50,2,0.149643705463183,0.133333333333333,0.0973871733966746,0.395555555555556,0.364214350590372,0.494464944649447,0.204004784681409,0.203140303270998
0,9,1,1,50,2,0.148717948717949,0.14018691588785,0.105128205128205,0.401869158878505,0.367101303911735,0.494464944649447,0.203675964532256,0.20314305695186
-600,9,1,1,150,2,0.130357142857143,0.121019108280255,0.0785714285714286,0.328025477707006,0.358156028368794,0.482605945604048,0.206406524258969,0.203349053757041
-400,9,1,1,150,2,0.129893238434164,0.121019108280255,0.0782918149466192,0.328025477707006,0.358156028368794,0.482605945604048,0.206406524258969,0.203349053757041
-200,9,1,1,150,2,0.129893238434164,0.121019108280255,0.0782918149466192,0.328025477707006,0.358156028368794,0.482605945604048,0.206406524258969,0.203349053757041
0,9,1,1,150,2,0.132969034608379,0.138211382113821,0.0801457194899818,0.378048780487805,0.358007117437722,0.488522238163558,0.206417694468437,0.203752322782045
200,9,1,1,150,2,0.132530120481928,0.138775510204082,0.0843373493975904,0.379591836734694,0.361561119293078,0.488522238163558,0.204728605485211,0.203752322782045
-600,9,1,0,50,2,0.183098591549296,0.151685393258427,0.0704225352112676,0.426966292134831,0.383802816901408,0.430769230769231,0.203741945381494,0.203475814215295
-400,9,1,0,50,2,0.183098591549296,0.15,0.0704225352112676,0.422222222222222,0.383802816901408,0.430769230769231,0.203741945381494,0.20343530515892
-200,9,1,0,50,2,0.205555555555556,0.181159420289855,0.0833333333333333,0.463768115942029,0.377697841726619,0.435106382978723,0.203718789981839,0.204446349938527
-600,9,1,0,150,2,0.147239263803681,0.148698884758364,0.0552147239263804,0.338289962825279,0.364475201845444,0.428453267162945,0.207791075482124,0.203148674964636
-400,9,1,0,150,2,0.147239263803681,0.148698884758364,0.0552147239263804,0.338289962825279,0.364475201845444,0.428453267162945,0.207791075482124,0.203148674964636
-200,9,1,0,150,2,0.147239263803681,0.148698884758364,0.0552147239263804,0.338289962825279,0.364475201845444,0.428453267162945,0.207791075482124,0.203148674964636