Supplementary Dataset 1 - Spreadsheet G - Network sizes for generic oxidant/reductant driven expansion - Data for generating Extended Data Fig.4,,,,
,,,,
oxidant redox potential,reductant redox potential,"thioester (1=RSH,0=no RSH)","carbon_source (1=Acetate/Formate, 0=CO2)",num_compounds
-800,-800,0,0,13
-800,-800,0,1,140
-800,-800,1,0,280
-800,-800,1,1,280
-800,-600,0,0,13
-800,-600,0,1,141
-800,-600,1,0,281
-800,-600,1,1,281
-800,-400,0,0,13
-800,-400,0,1,149
-800,-400,1,0,295
-800,-400,1,1,295
-800,-200,0,0,10
-800,-200,0,1,11
-800,-200,1,0,306
-800,-200,1,1,306
-800,0,0,0,6
-800,0,0,1,9
-800,0,1,0,8
-800,0,1,1,307
-800,200,0,0,6
-800,200,0,1,9
-800,200,1,0,8
-800,200,1,1,14
-800,400,0,0,6
-800,400,0,1,9
-800,400,1,0,8
-800,400,1,1,14
-800,600,0,0,6
-800,600,0,1,9
-800,600,1,0,8
-800,600,1,1,14
-800,800,0,0,6
-800,800,0,1,9
-800,800,1,0,8
-800,800,1,1,14
-600,-800,0,0,13
-600,-800,0,1,141
-600,-800,1,0,281
-600,-800,1,1,281
-600,-600,0,0,13
-600,-600,0,1,141
-600,-600,1,0,281
-600,-600,1,1,281
-600,-400,0,0,13
-600,-400,0,1,149
-600,-400,1,0,295
-600,-400,1,1,295
-600,-200,0,0,13
-600,-200,0,1,149
-600,-200,1,0,306
-600,-200,1,1,306
-600,0,0,0,6
-600,0,0,1,149
-600,0,1,0,307
-600,0,1,1,307
-600,200,0,0,6
-600,200,0,1,149
-600,200,1,0,307
-600,200,1,1,307
-600,400,0,0,6
-600,400,0,1,149
-600,400,1,0,307
-600,400,1,1,307
-600,600,0,0,6
-600,600,0,1,140
-600,600,1,0,307
-600,600,1,1,307
-600,800,0,0,6
-600,800,0,1,140
-600,800,1,0,307
-600,800,1,1,307
-400,-800,0,0,13
-400,-800,0,1,149
-400,-800,1,0,295
-400,-800,1,1,295
-400,-600,0,0,13
-400,-600,0,1,149
-400,-600,1,0,295
-400,-600,1,1,295
-400,-400,0,0,13
-400,-400,0,1,149
-400,-400,1,0,295
-400,-400,1,1,295
-400,-200,0,0,13
-400,-200,0,1,149
-400,-200,1,0,306
-400,-200,1,1,306
-400,0,0,0,6
-400,0,0,1,149
-400,0,1,0,307
-400,0,1,1,307
-400,200,0,0,6
-400,200,0,1,149
-400,200,1,0,307
-400,200,1,1,307
-400,400,0,0,6
-400,400,0,1,149
-400,400,1,0,307
-400,400,1,1,307
-400,600,0,0,6
-400,600,0,1,148
-400,600,1,0,307
-400,600,1,1,307
-400,800,0,0,6
-400,800,0,1,148
-400,800,1,0,307
-400,800,1,1,307
-200,-800,0,0,13
-200,-800,0,1,149
-200,-800,1,0,306
-200,-800,1,1,306
-200,-600,0,0,13
-200,-600,0,1,149
-200,-600,1,0,306
-200,-600,1,1,306
-200,-400,0,0,13
-200,-400,0,1,149
-200,-400,1,0,306
-200,-400,1,1,306
-200,-200,0,0,11
-200,-200,0,1,12
-200,-200,1,0,289
-200,-200,1,1,289
-200,0,0,0,6
-200,0,0,1,11
-200,0,1,0,290
-200,0,1,1,290
-200,200,0,0,6
-200,200,0,1,11
-200,200,1,0,290
-200,200,1,1,290
-200,400,0,0,6
-200,400,0,1,11
-200,400,1,0,290
-200,400,1,1,290
-200,600,0,0,6
-200,600,0,1,11
-200,600,1,0,290
-200,600,1,1,290
-200,800,0,0,6
-200,800,0,1,11
-200,800,1,0,290
-200,800,1,1,290
0,-800,0,0,13
0,-800,0,1,149
0,-800,1,0,307
0,-800,1,1,307
0,-600,0,0,13
0,-600,0,1,149
0,-600,1,0,307
0,-600,1,1,307
0,-400,0,0,13
0,-400,0,1,149
0,-400,1,0,307
0,-400,1,1,307
0,-200,0,0,11
0,-200,0,1,12
0,-200,1,0,290
0,-200,1,1,290
0,0,0,0,6
0,0,0,1,10
0,0,1,0,13
0,0,1,1,268
0,200,0,0,6
0,200,0,1,10
0,200,1,0,13
0,200,1,1,268
0,400,0,0,6
0,400,0,1,10
0,400,1,0,12
0,400,1,1,268
0,600,0,0,6
0,600,0,1,10
0,600,1,0,12
0,600,1,1,268
0,800,0,0,6
0,800,0,1,10
0,800,1,0,12
0,800,1,1,268
200,-800,0,0,13
200,-800,0,1,149
200,-800,1,0,307
200,-800,1,1,307
200,-600,0,0,13
200,-600,0,1,149
200,-600,1,0,307
200,-600,1,1,307
200,-400,0,0,13
200,-400,0,1,149
200,-400,1,0,307
200,-400,1,1,307
200,-200,0,0,11
200,-200,0,1,12
200,-200,1,0,290
200,-200,1,1,290
200,0,0,0,6
200,0,0,1,10
200,0,1,0,13
200,0,1,1,268
200,200,0,0,6
200,200,0,1,10
200,200,1,0,13
200,200,1,1,19
200,400,0,0,6
200,400,0,1,10
200,400,1,0,12
200,400,1,1,18
200,600,0,0,6
200,600,0,1,10
200,600,1,0,12
200,600,1,1,18
200,800,0,0,6
200,800,0,1,10
200,800,1,0,12
200,800,1,1,18
400,-800,0,0,13
400,-800,0,1,149
400,-800,1,0,307
400,-800,1,1,307
400,-600,0,0,13
400,-600,0,1,149
400,-600,1,0,307
400,-600,1,1,307
400,-400,0,0,13
400,-400,0,1,149
400,-400,1,0,307
400,-400,1,1,307
400,-200,0,0,11
400,-200,0,1,12
400,-200,1,0,290
400,-200,1,1,290
400,0,0,0,6
400,0,0,1,10
400,0,1,0,13
400,0,1,1,268
400,200,0,0,6
400,200,0,1,10
400,200,1,0,13
400,200,1,1,19
400,400,0,0,6
400,400,0,1,10
400,400,1,0,12
400,400,1,1,18
400,600,0,0,6
400,600,0,1,10
400,600,1,0,12
400,600,1,1,18
400,800,0,0,6
400,800,0,1,10
400,800,1,0,12
400,800,1,1,18
600,-800,0,0,13
600,-800,0,1,149
600,-800,1,0,307
600,-800,1,1,307
600,-600,0,0,13
600,-600,0,1,149
600,-600,1,0,307
600,-600,1,1,307
600,-400,0,0,13
600,-400,0,1,149
600,-400,1,0,307
600,-400,1,1,307
600,-200,0,0,11
600,-200,0,1,12
600,-200,1,0,290
600,-200,1,1,290
600,0,0,0,6
600,0,0,1,10
600,0,1,0,13
600,0,1,1,268
600,200,0,0,6
600,200,0,1,10
600,200,1,0,13
600,200,1,1,19
600,400,0,0,6
600,400,0,1,10
600,400,1,0,12
600,400,1,1,18
600,600,0,0,6
600,600,0,1,10
600,600,1,0,12
600,600,1,1,18
600,800,0,0,6
600,800,0,1,10
600,800,1,0,12
600,800,1,1,18
800,-800,0,0,13
800,-800,0,1,149
800,-800,1,0,307
800,-800,1,1,307
800,-600,0,0,13
800,-600,0,1,149
800,-600,1,0,307
800,-600,1,1,307
800,-400,0,0,13
800,-400,0,1,149
800,-400,1,0,307
800,-400,1,1,307
800,-200,0,0,11
800,-200,0,1,12
800,-200,1,0,290
800,-200,1,1,290
800,0,0,0,6
800,0,0,1,10
800,0,1,0,13
800,0,1,1,268
800,200,0,0,6
800,200,0,1,10
800,200,1,0,13
800,200,1,1,19
800,400,0,0,6
800,400,0,1,10
800,400,1,0,12
800,400,1,1,18
800,600,0,0,6
800,600,0,1,10
800,600,1,0,12
800,600,1,1,18
800,800,0,0,6
800,800,0,1,10
800,800,1,0,12
800,800,1,1,18