Module,Classification,Simple Linear,Notes
M00001,Linear,False,GAPOR leads to a branch point
M00002,Linear,True,
M00003,Linear,True,
M00004,Circular,False,
M00005,Linear,False,1 reaction
M00006,Linear,True,
M00007,Complex,False,
M00008,Linear,True,
M00009,Circular,False,
M00010,Linear,True,
M00011,Circular,False,
M00012,Circular,False,
M00013,Linear,True,
M00014,Linear,False,2 pathways (needs to be broken into two)
M00015,Linear,True,
M00016,Linear,True,
M00017,Linear,True,
M00018,Linear,True,
M00019,Linear,False,2 pathways
M00020,Linear,True,
M00021,Linear,True,
M00022,Linear,True,
M00023,Linear,True,
M00024,Linear,True,
M00025,Linear,True,
M00027,Linear,True,
M00028,Linear,True,
M00029,Circular,False,
M00032,Linear,True,
M00033,Linear,True,
M00034,Circular,False,
M00036,Circular,False,
M00037,Linear,True,
M00038,Linear,True,
M00040,Linear,True,
M00042,Linear,True,
M00044,Linear,True,
M00046,Linear,False,2 pathways
M00047,Linear,True,
M00048,Linear,False,Single branch
M00049,Linear,True,
M00050,Linear,False,
M00051,Linear,True,
M00052,Linear,True,
M00053,Linear,False,4 pathways
M00061,Linear,True,
M00064,Linear,True,
M00066,Linear,True,
M00082,Complex,False,
M00083,Linear,False,7 pathways
M00085,Circular,False,
M00086,Linear,False,1 reaction
M00087,Linear,False,7 pathways
M00088,Circular,False,
M00089,Linear,True,
M00090,Linear,True,
M00091,Linear,True,
M00092,Linear,True,
M00093,Linear,True,
M00095,Linear,True,
M00096,Linear,True,
M00098,Linear,True,
M00100,Linear,True,
M00112,Complex,False,
M00113,Linear,True,
M00114,Linear,True,
M00115,Linear,True,
M00116,Linear,True,
M00117,Linear,True,
M00118,Linear,True,
M00119,Complex,False,
M00120,Linear,True,
M00122,Complex,False,
M00123,Linear,False,2 branches
M00124,Linear,True,
M00125,Complex,False,
M00126,Linear,False,2 branches
M00128,Linear,True,
M00129,Linear,True,
M00130,Linear,True,
M00131,Linear,True,
M00132,Linear,True,
M00133,Complex,False,
M00134,Linear,True,
M00135,Linear,True,
M00136,Linear,True,
M00138,Linear,True,
M00140,Circular,False,
M00141,Circular,False,
M00142,Linear,False,1 reaction
M00143,No Reactions,False,
M00144,Linear,False,1 reaction
M00145,Linear,False,1 reaction
M00146,No Reactions,False,
M00147,No Reactions,False,
M00148,Linear,False,1 reaction
M00149,Linear,False,1 reaction
M00150,Linear,False,1 reaction
M00151,No Reactions,False,
M00152,No Reactions,False,
M00153,No Reactions,False,
M00154,No Reactions,False,
M00155,No Reactions,False,
M00156,No Reactions,False,
M00157,No Reactions,False,
M00158,No Reactions,False,
M00159,No Reactions,False,
M00160,No Reactions,False,
M00161,No Reactions,False,
M00162,No Reactions,False,
M00163,No Reactions,False,
M00165,Circular,False,
M00166,Linear,True,
M00167,Linear,True,
M00168,Linear,True,
M00169,Linear,True,
M00170,Circular,False,
M00171,Circular,False,
M00172,Circular,False,
M00173,Circular,False,
M00174,Linear,True,
M00175,Linear,False,1 reaction
M00176,Linear,True,
M00307,Circular,False,
M00308,Linear,False,Branch
M00309,Linear,False,Branch
M00338,Linear,True,
M00344,Linear,True,
M00345,Linear,False,Two pathways
M00346,Circular,False,
M00356,Complex,False,
M00357,Complex,False,
M00358,Linear,True,
M00363,No Reactions,False,
M00364,Linear,True,
M00365,Linear,True,
M00366,Linear,True,
M00367,Linear,True,
M00368,Linear,True,
M00372,Linear,False,Branch
M00373,Linear,False,Branch
M00374,Circular,False,
M00375,Circular,False,
M00376,Circular,False,
M00377,Complex,False,
M00378,Linear,False,two main branches
M00415,No reactions,False,
M00417,No reactions,False,
M00418,Linear,True,
M00422,Linear,True,
M00432,Linear,True,
M00433,Complex,False,two main branches
M00525,Linear,True,
M00526,Linear,True,
M00527,Linear,True,
M00528,Linear,True,
M00529,Linear,False,two main branches
M00530,Linear,True,
M00531,Linear,True,
M00533,Linear,True,
M00535,Linear,True,
M00538,Linear,True,
M00540,Linear,True,
M00541,Linear,True,
M00542,No reactions,False,
M00545,Complex,False,two main branches
M00549,Linear,True,
M00552,Linear,True,
M00554,Linear,True,
M00555,Linear,True,
M00563,Circular,False,
M00564,No reactions,False,
M00567,Complex,False,
M00568,Linear,True,
M00569,Complex,False,2 pathways
M00570,Linear,True,
M00572,Linear,True,
M00574,No reactions,False,
M00575,No reactions,False,
M00576,No reactions,False,
M00577,Linear,False,two main branches
M00579,Linear,True,
M00580,Linear,True,
M00595,Linear,False,1 reaction
M00596,Linear,True,
M00597,No reactions,False,
M00598,No reactions,False,
M00608,Complex,False,two main branches; 3 pathways
M00609,Linear,True,
M00611,No reactions,False,
M00612,No reactions,False,
M00613,No reactions,False,
M00614,No reactions,False,
M00615,No reactions,False,
M00616,No reactions,False,
M00617,No reactions,False,
M00618,No reactions,False,
M00620,Linear,True,
M00622,Linear,True,
M00624,Linear,True,
M00625,No reactions,False,
M00627,No reactions,False,
M00630,Linear,True,
M00631,Linear,True,
M00632,Linear,True,appears non-linear
M00633,Linear,False,two main branches
M00637,Linear,False,1 reaction
M00638,Linear,False,1 reaction
M00639,No reactions,False,
M00641,No reactions,False,
M00642,No reactions,False,
M00643,No reactions,False,
M00649,No reactions,False,
M00651,No reactions,False,
M00652,No reactions,False,
M00660,No reactions,False,
M00661,Linear,True,
M00664,No reactions,False,
M00672,Linear,True,
M00674,Linear,True,
M00675,Linear,True,
M00696,No reactions,False,
M00697,No reactions,False,
M00698,No reactions,False,
M00700,No reactions,False,
M00702,No reactions,False,
M00704,No reactions,False,
M00705,No reactions,False,
M00714,No reactions,False,
M00718,No reactions,False,
M00725,No reactions,False,
M00726,No reactions,False,
M00730,No reactions,False,
M00736,Complex,False,two main branches
M00740,Circular,False,simple circular
M00741,Linear,True,
M00744,No reactions,False,
M00745,No reactions,False,
M00746,No reactions,False,
M00769,No reactions,False,
M00773,Linear,True,
M00774,Linear,False,two main branches
M00775,Linear,True,
M00776,Linear,False,2 pathways
M00785,Linear,False,two main branches
M00787,Linear,True,
M00793,Linear,True,
M00794,Linear,True,
M00795,Linear,True,
M00796,Linear,True,
M00797,Linear,True,
M00798,Linear,True,
M00801,Linear,True,
M00802,Linear,True,
M00804,Linear,True,
M00824,No reactions,False,
M00825,No reactions,False,
M00829,Linear,True,
M00830,Linear,True,
M00835,Linear,True,
M00836,Linear,True,
M00840,Complex,False,two main branches
M00841,Complex,False,two main branches
M00842,Linear,True,
M00843,Linear,True,
M00844,Linear,True,
M00845,Linear,True,
M00847,Linear,True,
M00848,Linear,True,
M00849,Complex,False,
M00850,No reactions,False,
M00851,No reactions,False,
M00852,No reactions,False,
M00853,No reactions,False,
M00856,No reactions,False,
M00857,No reactions,False,
M00859,No reactions,False,
M00860,No reactions,False,
M00866,No reactions,False,
M00868,Linear,True,
M00873,No reactions,False,
M00874,No reactions,False,
M00875,Linear,True,
M00876,Linear,True,
M00877,Linear,True,
M00878,Linear,True,two main branches
M00879,Linear,True,
M00880,Linear,True,
M00881,Linear,False,2 pathways
M00882,Linear,True,
M00883,Linear,True,
M00884,Linear,True,
M00890,Linear,True,
M00891,Linear,True,
M00892,Linear,True,
M00894,Linear,False,two main branches
M00896,Linear,False,two main branches
M00899,Linear,False,two main branches
M00900,Complex,False,
M00901,Linear,True,
M00903,Linear,True,
M00904,Complex,False,could be broken into 3 pathways where last step is different?
M00909,Linear,True,
M00910,Linear,True,
M00911,Linear,False,two main branches
M00912,Linear,True,
M00913,Linear,False,two main branches
M00914,Linear,True,
M00915,Complex,False,
M00916,Linear,False,One reaction
M00918,Linear,True,
M00919,Linear,True,
M00921,Linear,True,
M00923,Linear,True,
M00924,Linear,True,
M00930,Linear,True,
M00931,Linear,True,
M00932,Linear,True,
M00933,Linear,True,
M00934,Linear,True,
M00935,Linear,False,two main branches
ReductiveGlycine,Linear,True,
