,mean_dor,ne_size,dtype
0,1.9221089800442601,434,lower
1,1.9121397127749349,391,lower
2,1.9597302678756312,86,lower
3,1.907643075092679,389,lower
4,1.947348966686946,420,lower
5,1.8528401557147207,389,lower
6,1.87902881950501,395,lower
7,1.9816549256231124,424,lower
8,1.9647712878254755,427,lower
9,1.9830502867293216,4151,lower
10,1.9018513864876094,399,lower
11,1.8937226794369653,395,lower
12,1.935493949957403,383,lower
13,1.9698222240340406,388,lower
14,1.9704108916293794,412,lower
15,1.8451311079987553,4094,lower
16,1.9138949454425647,411,lower
17,1.8114006364006363,402,lower
18,1.8956632653061225,394,lower
19,1.945525856030058,389,lower
20,1.933858982339375,402,lower
21,1.9861025324537047,394,lower
22,1.8773066263542455,401,lower
23,1.9429449764883937,400,lower
24,1.9501929618001046,391,lower
25,1.8574680335097005,396,lower
26,1.92396045312712,392,lower
27,1.9242120181405893,4099,lower
28,1.8554444038687734,77,lower
29,1.9562701848416135,76,lower
30,1.9598633078962577,398,lower
31,1.9191599587619528,397,lower
32,1.9439378743656972,77,lower
33,1.945264286889903,394,lower
34,1.9464357460155783,413,lower
35,1.8717276304461183,4118,lower
36,1.8560515927934635,398,lower
37,1.9625791996833257,69,lower
38,1.8673069023224302,396,lower
39,1.936654661864746,395,lower
40,1.9415750915750918,400,lower
41,1.8304520875949446,391,lower
42,1.9280549256739734,390,lower
43,1.864131669915717,391,lower
44,1.9468108952518204,402,lower
45,1.9035303183556171,398,lower
46,1.9385278081706656,386,lower
47,1.9579167525596095,391,lower
48,1.9509054904012888,398,lower
49,1.8570604257963346,401,lower
50,1.929171247623629,403,lower
51,1.9633159718399444,387,lower
52,1.958544517938928,4104,lower
53,1.9812495873770386,396,lower
54,1.9519234534146817,429,lower
55,1.9376897767654069,387,lower
56,1.770895003821833,410,lower
57,1.934680344286256,4098,lower
58,1.9236381252837835,75,lower
59,1.9409470353798088,383,lower
60,1.909824504656096,4093,lower
61,1.9230112013725464,389,lower
62,1.9166552585946666,394,lower
63,1.8984065388398061,396,lower
64,1.9387311108356056,395,lower
65,1.9604882525400735,397,lower
66,1.9399370496709432,391,lower
67,1.8874853232299071,409,lower
68,1.9412241904135161,116,lower
69,1.9562232670846118,395,lower
70,1.9038042210504618,404,lower
71,1.8799360886545762,410,lower
72,1.9337834836962058,399,lower
73,1.9585291692434552,393,lower
74,1.9824368426285868,386,lower
75,1.9339362244473932,420,lower
76,1.8861236551689426,390,lower
77,1.968935676521502,74,lower
78,1.9353533328417187,96,lower
79,1.943915861475386,387,lower
80,1.9532205421342326,406,lower
81,1.961655328798186,398,lower
82,1.8594247348388135,392,lower
83,1.9390204970877238,81,lower
84,1.9481426195186704,392,lower
85,1.8802140452140452,388,lower
86,1.9770650425412335,110,lower
87,1.9712779836981458,398,lower
88,1.9923556582976876,380,lower
89,1.9383812615955476,387,lower
90,1.961082103406665,85,lower
91,1.994738079878733,80,lower
92,1.8891402653632734,394,lower
93,1.9176334326834186,4118,lower
94,1.85661593265935,386,lower
95,1.900198412698413,427,lower
96,1.970531716960289,79,lower
97,1.965880958443984,399,lower
98,1.9151363407315785,391,lower
99,1.9650445369718772,4108,lower
100,1.96223044773465,4104,lower
101,1.9629177362654375,421,lower
102,1.6725526348256954,4102,lower
103,1.908265898952174,391,lower
104,1.9063241556785315,387,lower
105,1.9581416404945824,84,lower
106,1.871082881071267,391,lower
107,1.916071682234147,405,lower
108,1.876737497135291,423,lower
109,1.9072916035100906,402,lower
110,1.979582622972716,391,lower
111,1.979420277314366,404,lower
112,1.9570445097230813,4109,lower
113,1.9629535147392287,398,lower
114,1.9554070004070006,82,lower
115,1.9313239992966884,447,lower
116,1.9514002000649655,388,lower
117,1.8721120073224329,82,lower
118,1.9519599253842952,401,lower
119,1.9657743770909035,395,lower
120,1.9489276596419454,393,lower
121,1.974672370890859,387,lower
122,1.9587742944885806,4126,lower
123,1.9431107482865557,87,lower
124,1.9562272212556013,424,lower
125,1.9478912429886535,88,lower
126,1.940917622445797,382,lower
127,1.8846927253286139,396,lower
128,1.9292044147093534,4120,lower
129,1.966772978019845,386,lower
130,1.8877392448821024,404,lower
131,1.9584837497545236,385,lower
132,1.93680153524874,382,lower
133,1.9305271688157257,405,lower
134,1.8055750330435207,407,lower
135,1.9056436160803183,4152,lower
136,1.9080722359835283,408,lower
137,1.8422364207184914,388,lower
138,1.9238634076876473,406,lower
139,1.923903966096657,408,lower
140,1.8051498475714507,387,lower
141,1.897975839006217,384,lower
142,1.9210979991671582,391,lower
143,1.9565363405275686,397,lower
144,1.9314498955781991,391,lower
145,1.8768195287374212,387,lower
146,1.9802434862834024,4104,lower
147,1.9324994449994448,396,lower
148,1.888550470693328,413,lower
149,1.93181671527547,407,lower
150,1.9827936224995053,396,lower
151,1.9554071765976526,79,lower
152,1.8951024301462136,4117,lower
153,1.938034540415493,398,lower
154,1.968987502408371,411,lower
155,1.9431926921890965,4112,lower
156,1.9154409132073889,384,lower
157,1.9984902238331217,4122,lower
158,1.8947006917245013,395,lower
159,1.8598550531323639,400,lower
160,1.9704339910683597,388,lower
161,1.9127156314481244,396,lower
162,1.9586149965036523,383,lower
163,1.937535851882841,391,lower
164,1.9020460686306335,409,lower
165,1.9436535220148667,4094,lower
166,1.9255613434184866,4120,lower
167,1.9707381729938125,84,lower
168,1.9382544263496648,4113,lower
169,1.983523865136441,384,lower
170,1.9460766386974375,389,lower
171,1.9615860397031006,81,lower
172,1.9158995792049016,4104,lower
173,1.9498919264675567,84,lower
174,1.9284740338443074,391,lower
175,1.9392008886888088,438,lower
176,1.961054809388143,409,lower
177,1.9264095195829574,78,lower
178,1.9381405664816396,381,lower
179,1.95216052389685,404,lower
180,1.9350235478806912,449,lower
181,1.9381619314392426,88,lower
182,1.9192345433471198,390,lower
183,1.9914328947067048,4100,lower
184,1.9811324964564168,393,lower
185,1.8565187316195797,386,lower
186,1.8469796605510895,393,lower
187,1.9319853867472918,403,lower
188,1.7344632061705234,392,lower
189,1.953509209332191,83,lower
190,1.9590172587123806,387,lower
191,1.9264308442879872,396,lower
192,1.9226630994846825,390,lower
193,1.9435744856599388,394,lower
194,1.9037028315599744,390,lower
195,1.936543304190363,395,lower
196,1.8743430705615585,418,lower
197,1.917587446310168,419,lower
198,1.9580057863551166,420,lower
199,1.9200399248018298,404,lower
200,1.944411575015951,391,lower
201,1.8895690774980909,383,lower
202,1.9431931358401948,395,lower
203,1.9770509579212372,391,lower
204,1.9788257740513864,398,lower
205,1.9218554342034224,83,lower
206,1.9188914454670756,94,lower
207,1.8974083458671007,4113,lower
208,1.9156230604256155,405,lower
209,1.940444095410047,407,lower
210,1.9533913767527213,384,lower
211,1.8736358350644067,422,lower
212,1.8857763401821273,407,lower
213,1.8816561388865314,391,lower
214,1.971480301004111,73,lower
215,1.9488396702014992,84,lower
216,1.9235792958771807,394,lower
217,1.90494642301365,410,lower
218,1.9438068680307112,80,lower
219,1.9727861799990654,401,lower
220,1.946948833234867,391,lower
221,1.9450485206582366,80,lower
222,1.8775006298815824,4095,lower
223,1.9405876638019497,395,lower
224,1.936913025044131,400,lower
225,1.939205600921376,416,lower
226,1.9218009069724755,390,lower
227,1.9334289167622503,418,lower
228,1.9150863194280565,382,lower
229,1.9663530058488046,389,lower
230,1.9202613400557769,383,lower
231,1.9028951469442887,386,lower
232,1.9028697162625736,387,lower
233,1.9497060409245284,395,lower
234,1.9119716333417007,383,lower
235,1.9433907539636712,404,lower
236,1.9708082201697708,403,lower
237,1.880771664022896,385,lower
238,1.9220318041746618,415,lower
239,1.965975924312391,395,lower
240,1.9098600359684104,412,lower
241,1.8460543424829137,394,lower
242,1.9144790239328053,4124,lower
243,1.8767765393484106,416,lower
244,1.9540455576169862,392,lower
245,1.9265647889341269,409,lower
246,1.9549282441459535,4098,lower
247,1.9178424700759955,413,lower
248,1.917260566914934,401,lower
249,1.9595039139851032,385,lower
250,1.930291532534196,408,lower
251,1.890016037763068,390,lower
252,1.9131914381914386,427,lower
253,1.9493987908553738,420,lower
254,1.8900998889720693,4118,lower
255,1.8693786310820628,414,lower
256,1.9312590628066815,91,lower
257,1.910414428929467,4101,lower
258,1.9708376707010309,393,lower
259,1.9254243060128458,407,lower
260,1.909297150992854,86,lower
261,1.861255579154739,74,lower
262,1.9088617293409673,4101,lower
263,1.9192877249714115,4123,lower
264,1.935149907916383,391,lower
265,1.987726355073752,408,lower
266,1.9699301800492275,401,lower
267,1.95003564557136,385,lower
268,1.9361885336885338,394,lower
269,1.97011634772913,404,lower
270,1.9947439868171577,394,lower
271,1.9362824488032762,382,lower
272,1.9537425008853584,390,lower
273,1.9692030891294747,97,lower
274,1.8515384497581688,402,lower
275,1.8472250963322394,397,lower
276,1.953230643359458,391,lower
277,1.9878104768812643,382,lower
278,1.9370542156256445,79,lower
279,1.892446900037568,386,lower
280,1.9367396887811577,388,lower
281,1.9852327496781619,413,lower
282,1.9361788175776273,399,lower
283,1.9676030794929842,401,lower
284,1.812145846419546,393,lower
285,1.9392083115297403,392,lower
286,1.9394693104514535,402,lower
287,1.9631980726808311,396,lower
288,1.9125085724525506,409,lower
289,1.9264949750944158,394,lower
290,1.940793287011775,92,lower
291,1.8989358401588485,83,lower
292,1.9502562304383035,423,lower
293,1.8773547184189543,385,lower
294,1.942806639864834,385,lower
295,1.986625945445258,4093,lower
296,1.9634420359018048,398,lower
297,1.9335850955906826,4100,lower
298,1.9391333735277836,399,lower
299,1.975558216034407,397,lower
300,1.9610081069464822,4100,lower
301,1.9422875210690342,391,lower
302,1.8904272628591667,400,lower
303,1.9157414789188192,393,lower
304,1.9128375253427488,407,lower
305,1.961104926819213,413,lower
306,1.9609214198499911,387,lower
307,1.9446908926561253,4112,lower
308,1.9727095130981687,397,lower
309,1.902520957878101,402,lower
310,1.90332809625711,400,lower
311,1.8818422318422319,385,lower
312,1.9271192262385952,399,lower
313,1.953279700898749,410,lower
314,1.9344854608510071,408,lower
315,1.987562572430485,390,lower
316,1.8935702058601218,438,lower
317,1.877860276902089,89,lower
318,1.932357303190637,392,lower
319,1.968847631645251,402,lower
320,1.865221421902094,386,lower
321,1.9520588538445682,402,lower
322,1.9423967681667231,388,lower
323,1.874297536905995,430,lower
324,1.91053743267642,406,lower
325,1.703732279625137,407,lower
326,1.9451175477961196,425,lower
327,1.9353091135962952,4125,lower
328,1.9991542492417842,407,lower
329,1.9384501411287125,397,lower
330,1.8844818602314481,412,lower
331,1.9396088602086197,4112,lower
332,1.9347202508207162,386,lower
333,1.9469125402098824,401,lower
334,1.9145609164140376,397,lower
335,1.92624255419822,83,lower
336,1.9100066600066603,4112,lower
337,1.9069952093761615,399,lower
338,1.9748982338338084,78,lower
339,1.940155237179047,394,lower
340,1.9562966328722629,391,lower
341,1.9401934345488083,403,lower
342,2.0022493330542868,390,lower
343,1.9497366445283109,411,lower
344,1.9645584846215098,403,lower
345,1.9594427857919248,395,lower
346,1.9394873134438961,397,lower
347,1.9194641998213426,410,lower
348,1.954048451739371,393,lower
349,1.9017056550669995,398,lower
350,1.963659103605814,413,lower
351,1.9620726363583512,388,lower
352,1.855827701450951,396,lower
353,1.9550636921435243,403,lower
354,1.9532280190779416,4108,lower
355,1.8895353537037713,388,lower
356,1.9458197031726443,4107,lower
357,1.9145959595959599,4107,lower
358,1.9295786070940875,398,lower
359,1.8995166314614722,4117,lower
360,1.9637561034412543,404,lower
361,1.932557319223986,403,lower
362,1.897881884197674,435,lower
363,1.9539383235811814,402,lower
364,1.9747984749455343,390,lower
365,1.8807931707097703,4100,lower
366,1.8073831893103425,402,lower
367,1.9173498459212743,413,lower
368,1.9068648150791014,389,lower
369,1.9304691930972926,383,lower
370,1.8642302819132088,4109,lower
371,1.9459126763978016,403,lower
372,1.9439279415469894,4100,lower
373,1.9898678208695078,68,lower
374,1.9441239380699311,399,lower
375,1.9335179293055453,395,lower
376,1.9203614465456573,4103,lower
377,1.9273145200841282,389,lower
378,1.988021383767182,393,lower
379,1.9291018259155521,406,lower
380,1.9670129447790512,387,lower
381,1.927133545078223,422,lower
382,1.8752265109969752,384,lower
383,1.9274326397225556,422,lower
384,1.9532117120352417,402,lower
385,1.9704447454038827,73,lower
386,1.9689533656465583,395,lower
387,1.9824546485260772,409,lower
388,1.9547067817025803,84,lower
389,1.9247875581208915,4108,lower
390,1.8573507180650042,4105,lower
391,1.802282163906709,83,lower
392,1.9484874252731392,392,lower
393,1.8830756545042262,415,lower
394,1.9288271748093178,384,lower
395,1.9823256673943295,386,lower
396,2.0061087942040325,83,lower
397,1.9665968035157582,393,lower
398,1.986381927039822,4095,lower
399,1.9529695480885962,402,lower
400,1.9369396767279403,69,lower
401,1.9607092159356965,413,lower
402,1.7875457875457876,4089,lower
403,1.946218160254165,408,lower
404,1.907012607185765,4103,lower
405,1.9581820296106014,403,lower
406,1.9545672224049209,4105,lower
407,1.9094339386202048,75,lower
408,1.905333724541042,392,lower
409,1.9205792657642953,70,lower
410,1.9374470106612964,90,lower
411,1.9154785872220286,400,lower
412,1.9453777382714175,387,lower
413,1.9677147080278352,77,lower
414,1.8997112701594496,403,lower
415,1.8272190391308043,393,lower
416,1.873067589608943,405,lower
417,1.882989292709522,395,lower
418,1.926471407276361,4092,lower
419,1.9641159611992944,402,lower
420,1.982596129619939,4135,lower
421,1.9150744073989692,390,lower
422,1.9349133873106186,405,lower
423,1.883473237248116,393,lower
424,1.941305248791726,407,lower
425,1.9043121415232764,427,lower
426,1.9057143520176105,105,lower
427,1.9486835474930713,389,lower
428,1.9402216746494678,4109,lower
429,1.9711871204031486,78,lower
430,1.9098941889355425,391,lower
431,1.9876019439114683,427,lower
432,1.9017828216557944,391,lower
433,1.9212294917967188,4095,lower
434,1.936961173358232,421,lower
435,1.9205993229005327,388,lower
436,1.901813836569934,400,lower
437,1.888869463869464,397,lower
438,1.9266712745704344,414,lower
439,1.9162278263091674,390,lower
440,1.8564948363532106,401,lower
441,1.886530751602264,394,lower
442,1.9396429825345105,4119,lower
443,1.9801342007796308,384,lower
444,1.9186014787097743,397,lower
445,1.8924173374593334,387,lower
446,1.969432985302801,387,lower
447,1.9270934434379812,433,lower
448,1.8393526439503451,397,lower
449,1.9531038558636968,4102,lower
450,1.9154572238252028,4105,lower
451,1.8713201654930982,393,lower
452,1.9649460151841105,405,lower
453,1.9224174855127238,424,lower
454,1.8741628469569647,389,lower
455,1.9535715801472109,391,lower
456,1.9555703089316534,84,lower
457,1.9689957798085875,407,lower
458,1.8613995598239295,399,lower
459,1.969710748194642,386,lower
460,1.8530681315665523,401,lower
461,1.8982454978480674,397,lower
462,1.9669166371547326,387,lower
463,1.9355677578125179,4138,lower
464,1.9320362240853655,392,lower
465,1.9531362145515947,395,lower
466,1.9135658452515543,71,lower
467,1.8692264113140602,396,lower
468,1.9855983504512917,402,lower
469,1.9426872874325132,398,lower
470,1.9048328244969361,402,lower
471,1.89769749577195,90,lower
472,1.9451261294754552,397,lower
473,1.9225931908813687,397,lower
474,1.9094088917618333,402,lower
475,1.8783374033374034,408,lower
476,1.9567693744164334,107,lower
477,1.9118298430483307,396,lower
478,1.9709592698046619,400,lower
479,1.9556644880174288,412,lower
480,1.9287274400500942,396,lower
481,1.983241337470661,89,lower
482,1.9747592505015477,405,lower
483,1.9708331985993053,421,lower
484,1.959172372652765,398,lower
485,1.798480904199996,398,lower
486,1.9161325087063998,388,lower
487,1.9239931228901817,393,lower
488,1.8922809527851545,391,lower
489,1.9184790204588178,389,lower
490,1.91377837739964,421,lower
491,1.9154466291445686,4108,lower
492,1.9060500125976318,382,lower
493,1.972265044229074,400,lower
494,1.8956632653061225,413,lower
495,1.9512537875398206,107,lower
496,1.982988173266919,390,lower
497,1.9374674448904141,397,lower
498,1.916797985472721,4114,lower
499,1.9758704893508816,387,lower
500,1.9545829581856433,410,lower
501,1.9840767188892938,383,lower
502,1.9897933811205644,392,lower
503,1.971948688793841,75,lower
504,1.910055045092946,388,lower
505,1.9375886106083693,389,lower
506,1.938177959606531,388,lower
507,1.9434238847053975,396,lower
508,1.9594793187930448,386,lower
509,1.8779701061711234,391,lower
510,1.9742090108173376,71,lower
511,1.889017092203367,413,lower
512,1.8783546559997084,82,lower
513,1.9126898234041092,392,lower
514,1.941817347757714,422,lower
515,1.927041200847264,394,lower
516,1.9591402821291122,399,lower
517,1.9859135854436605,395,lower
518,1.942878530722634,409,lower
519,1.9426445246533628,401,lower
520,1.9738129595272453,76,lower
521,1.9576727539108834,398,lower
522,1.8880770464103798,4112,lower
523,1.9346023879637326,391,lower
524,1.9780841331611645,79,lower
525,1.881668385189602,399,lower
526,1.8791426166426164,392,lower
527,1.9580592143617357,400,lower
528,1.9477820294784582,70,lower
529,1.9570661919566446,388,lower
530,1.9265002196966259,397,lower
531,1.9104015647548254,383,lower
532,1.940838614648139,408,lower
533,1.872028927268218,404,lower
534,1.9366017255741572,412,lower
535,1.935301405855593,389,lower
536,1.9122980125777833,402,lower
537,1.9109260829693326,412,lower
538,1.908169419740899,400,lower
539,1.9362397523111805,386,lower
540,1.9721317483222252,394,lower
541,1.9512660876316341,75,lower
542,1.8940967525221473,392,lower
543,1.9241950483897259,407,lower
544,1.9682449915387,4101,lower
545,1.8743952371771924,400,lower
546,1.9067150952810845,382,lower
547,1.9857703415476524,392,lower
548,1.9304668597419943,4097,lower
549,1.8466842240651768,401,lower
550,1.8762055933484507,434,lower
551,1.9371625481000483,68,lower
552,1.9127313953294345,392,lower
553,1.8641754647943902,4109,lower
554,1.8920325706039993,398,lower
555,1.988448974805682,391,lower
556,1.952876939015545,405,lower
557,1.9319537359103187,4114,lower
558,1.9396888848643237,382,lower
559,1.9566696301168354,390,lower
560,1.954907673507114,98,lower
561,1.9568814562862182,408,lower
562,1.9389517900656197,387,lower
563,2.0089844322862533,397,lower
564,1.9551206099041205,420,lower
565,1.9412854137302455,400,lower
566,1.984884574135275,392,lower
567,1.9458363202205564,398,lower
568,1.951810222690841,85,lower
569,1.8863337062493044,412,lower
570,1.8990396663715998,392,lower
571,1.9425917819735028,388,lower
572,1.9560750821639326,413,lower
573,1.9211579875455083,399,lower
574,1.9142857142857148,103,lower
575,1.8498554135458902,387,lower
576,1.9238252064110668,4112,lower
577,1.851311433664375,393,lower
578,1.9352846733235207,391,lower
579,1.924145008430723,412,lower
580,1.942525728240014,4102,lower
581,1.9334616413084083,397,lower
582,1.9119744607244609,106,lower
583,1.9573471781875145,83,lower
584,1.9456331053792704,393,lower
585,1.9387056374087535,390,lower
586,1.9636219894367057,399,lower
587,1.9742273321549868,4108,lower
588,1.9473174715334993,388,lower
589,1.9184494378559505,4104,lower
590,1.9383109739748738,389,lower
591,1.9515176622319481,400,lower
592,1.785421543140521,383,lower
593,1.9431620796466733,81,lower
594,1.8830667452166052,104,lower
595,1.927040668605709,386,lower
596,1.9288263775123484,4109,lower
597,1.9486550680878412,89,lower
598,1.9190487573526336,401,lower
599,1.9889437599279107,418,lower
600,1.974291383219955,396,lower
601,1.9896408151539515,64,lower
602,1.928350122877434,394,lower
603,1.882371988756517,80,lower
604,1.9471217462650032,408,lower
605,1.9526146308325703,400,lower
606,1.978604775243431,410,lower
607,1.9361493607499376,406,lower
608,1.9501222697056035,4095,lower
609,1.847945878688176,391,lower
610,1.984356205395748,397,lower
611,1.9644310583596298,418,lower
612,1.9214027443941362,389,lower
613,1.9260476969222258,391,lower
614,1.910503616651339,390,lower
615,1.8882847227209976,4116,lower
616,1.9880613390137205,86,lower
617,1.9939070409308506,78,lower
618,1.9144997392896554,389,lower
619,1.8345423051375431,395,lower
620,1.9386854076960982,397,lower
621,1.9038111540912663,4102,lower
622,1.987602428435762,384,lower
623,1.8903788425923267,394,lower
624,1.9501553340839055,399,lower
625,1.9474328407599089,409,lower
626,1.959429729818017,402,lower
627,1.920086676489547,386,lower
628,1.9131158631158631,403,lower
629,1.961560044893378,411,lower
630,1.9496085532251315,394,lower
631,1.9019257399929668,388,lower
632,1.8230219928880647,402,lower
633,1.9062633532945346,405,lower
634,1.96503549309474,394,lower
635,1.9253876717967984,396,lower
636,1.9335002385107367,403,lower
637,1.9078434817949046,80,lower
638,1.9626106036820328,389,lower
639,1.9583125933300152,75,lower
640,1.956345844946099,403,lower
641,1.973726028873088,403,lower
642,1.8335011782490775,392,lower
643,1.9261108794722241,403,lower
644,1.9377740288260128,406,lower
645,1.9446740306331318,397,lower
646,1.9487604300979653,398,lower
647,1.9744854810611114,83,lower
648,1.7688505031642288,79,lower
649,1.9538980789909066,79,lower
650,1.9240153779719602,87,lower
651,1.9316170750142878,399,lower
652,1.9453783111934222,398,lower
653,1.9541350031573814,409,lower
654,1.9639781271360217,398,lower
655,1.7723344971244135,389,lower
656,1.8889056049770336,4119,lower
657,1.9523854194585903,395,lower
658,1.975559124475213,399,lower
659,1.9569397811708553,81,lower
660,1.9274151748241388,398,lower
661,1.9646082509804317,406,lower
662,1.9233764445949322,4111,lower
663,1.994021396437363,4101,lower
664,1.9101541536154694,398,lower
665,1.940857229023595,385,lower
666,1.951330487323134,81,lower
667,1.9161790966815886,393,lower
668,1.88616502545074,414,lower
669,1.950885465829075,78,lower
670,1.9349751855240807,405,lower
671,1.9339863163180868,400,lower
672,1.9287360567122476,414,lower
673,1.8952984625603677,408,lower
674,1.9503356111145969,397,lower
675,1.938409124333494,389,lower
676,1.8848729860924989,408,lower
